Id;NumIdPersona;Periodo;Valor;NumTransacciones;UES;Producto;;;;;
1;708858;2020-08-20;675161;5;Mercadeo Social;Supermercados;;;;;
2;941811;2020-08-21;30597;1;Mercadeo Social;Supermercados;;;;;
3;803415;2020-08-22;0;12;Salud;POS;;;;;
4;924791;2020-08-23;0;2;Salud;No POS;;;;;
5;766770;2020-08-24;36002;1;Mercadeo Social;Supermercados;;;;;
6;786610;2020-08-25;6400;5;Salud;POS;;;;;
7;321953;2020-08-26;0;1;Salud;POS;;;;;
8;725940;2020-08-27;63180;1;Mercadeo Social;Droguerias;;;;;
9;686232;2020-08-28;66366;2;Mercadeo Social;Supermercados;;;;;
10;1698;2020-08-29;3200;2;Salud;POS;;;;;
11;545358;2020-08-30;541005;4;Convenios de Credito;Convenios;;;;;
12;926854;2020-08-31;47678;1;Mercadeo Social;Droguerias;;;;;
13;1107330;2020-09-01;12700;3;Salud;POS;;;;;
14;1256377;2020-09-02;0;3;Salud;POS;;;;;
15;493724;2020-09-03;14790;1;Mercadeo Social;Supermercados;;;;;
16;1224952;2020-09-04;15263;1;Mercadeo Social;Supermercados;;;;;
17;1048469;2020-09-05;6400;12;Salud;POS;;;;;
18;526001;2020-09-06;3200;3;Salud;POS;;;;;
19;16615;2020-09-07;29800;2;Salud;No POS;;;;;
20;1391638;2020-09-08;27000;4;Salud;POS;;;;;
21;1367284;2020-09-09;21000;1;Recreacion y Turismo;Piscilago;;;;;
22;874495;2020-09-10;378085;10;Recreacion y Turismo;Hotel Penalisa;;;;;
23;164438;2020-09-11;6400;8;Salud;POS;;;;;
24;172114;2020-09-12;7409;2;Salud;POS;;;;;
25;1131339;2020-09-13;0;2;Recreacion y Turismo;Practica Deportiva;;;;;
26;180567;2020-09-14;0;1;Mercadeo Social;Droguerias;;;;;
27;322194;2020-09-15;12700;3;Salud;POS;;;;;
28;56347;2020-09-16;12800;8;Salud;POS;;;;;
29;1189381;2020-09-17;3400;4;Salud;POS;;;;;
30;160351;2020-09-18;7565;1;Mercadeo Social;Supermercados;;;;;
31;1235533;2020-09-19;1050;1;Mercadeo Social;Supermercados;;;;;
32;1187081;2020-09-20;255773;1;Mercadeo Social;Supermercados;;;;;
33;865093;2020-09-21;12700;3;Salud;POS;;;;;
34;728005;2020-09-22;3200;3;Salud;POS;;;;;
35;440868;2020-09-23;22689,07563;6;Recreacion y Turismo;Club Bellavista;;;;;
36;109161;2020-09-24;0;2;Salud;POS;;;;;
37;1363604;2020-09-25;373108;5;Convenios de Credito;Convenios;;;;;
38;814248;2020-09-26;57876;1;Convenios de Credito;Convenios;;;;;
39;1079568;2020-09-27;223566;3;Convenios de Credito;Convenios;;;;;
40;1425955;2020-09-28;20000;1;Recreacion y Turismo;Piscilago;;;;;
41;982442;2020-09-29;49349;2;Mercadeo Social;Supermercados;;;;;
42;962073;2020-09-30;13590;14;Salud;POS;;;;;
43;1277180;2020-10-01;12700;2;Salud;POS;;;;;
44;584143;2020-10-02;23153;9;Salud;POS;;;;;
45;165269;2020-10-03;0;2;Salud;POS;;;;;
46;1095383;2020-10-04;3200;3;Salud;POS;;;;;
47;1226179;2020-10-05;0;2;Salud;POS;;;;;
48;412508;2020-10-06;0;2;Salud;POS;;;;;
49;590800;2020-10-07;6849;1;Mercadeo Social;Droguerias;;;;;
50;1148185;2020-10-08;27825;1;Mercadeo Social;Supermercados;;;;;
